"Date","Titre","Sous-titre","Salle"
"2016-09-25 14:00:00","Les Grands ExplorateursFascinante Californie","","Salle Louis-Fréchette"
"2016-09-25 15:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-27 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-28 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-28 20:00:00","L'Orchestre symphonique de QuébecLouis Lortie, baguette et piano","","Salle Louis-Fréchette"
"2016-09-29 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-29 20:00:00","Francis Cabrel","In Extremis","Salle Louis-Fréchette"
"2016-09-30 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-30 20:00:00","Francis Cabrel","In Extremis","Salle Louis-Fréchette"
"2016-10-01 10:00:00","Les Journées de la culture","Tous ensemble réunis pour la culture!",""
"2016-10-01 15:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-01 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-01 20:00:00","Francis Cabrel","In Extremis","Salle Louis-Fréchette"
"2016-10-02 11:15:00","Les Journées de la culture","Tous ensemble réunis pour la culture!",""
"2016-10-02 15:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-04 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-05 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2016-10-05 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-06 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-07 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-07 20:00:00","L'Orchestre symphonique de QuébecGuy St-Onge, une vie de musicien","","Salle Louis-Fréchette"
"2016-10-08 15:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-08 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-10-08 20:00:00","L'Orchestre symphonique de QuébecGuy St-Onge, une vie de musicien","","Salle Louis-Fréchette"
"2016-10-14 20:00:00","Jill and Matthew Barber","The Family Album ","Salle Octave-Crémazie"
"2016-10-19 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2016-10-19 20:00:00","Robert Charlebois","Rock'oustic","Salle Octave-Crémazie"
"2016-10-20 20:00:00","Simon Leblanc","Tout court","Salle Octave-Crémazie"
"2016-10-21 20:00:00","Catherine Major","La Maison du monde","Salle Octave-Crémazie"
"2016-10-22 19:00:00","L'Opéra de QuébecSuor Angelica/Gianni Schicchi","de Giacomo Puccini","Salle Louis-Fréchette"
