,Date,Open,High,Low,Close,Adj Close,Volume
116,2016-12-19,115.800003,117.5,115.589996,116.519997,114.21024299999999,113254700
117,2016-12-26,116.519997,118.019997,115.43,115.82,113.52413200000001,84828600
118,2017-01-02,115.800003,118.160004,114.760002,117.910004,115.572708,103845500
119,2017-01-09,117.949997,119.93,117.940002,119.040001,116.680298,138810700
120,2017-01-16,118.339996,120.5,118.220001,120.0,117.621269,116348000
121,2017-01-23,120.0,122.440002,119.5,121.949997,119.53260800000001,124539300
122,2017-01-30,120.93,130.490005,120.620003,129.080002,126.52127800000001,249781200
123,2017-02-06,129.130005,132.940002,128.899994,132.119995,129.501022,136449200
124,2017-02-13,133.080002,136.270004,132.75,135.720001,133.60643000000002,136667500
125,2017-02-20,136.229996,137.479996,135.279999,136.66000400000001,134.53178400000002,87908900
126,2017-02-27,137.139999,140.279999,136.279999,139.779999,137.60318,127474000
127,2017-03-06,139.369995,139.979996,137.050003,139.139999,136.973145,99672200
128,2017-03-13,138.850006,141.020004,138.820007,139.990005,137.809906,121539600
129,2017-03-20,140.399994,142.800003,139.729996,140.639999,138.449783,129674000
130,2017-03-27,139.389999,144.5,138.619995,143.66000400000001,141.422775,127008900
131,2017-04-03,143.71000700000002,145.46000700000002,143.050003,143.33999599999999,141.107742,105416200
132,2017-04-10,143.600006,143.880005,140.059998,141.050003,138.853424,87485700
133,2017-04-17,141.479996,142.919998,140.449997,142.270004,140.054428,89248500
134,2017-04-24,143.5,144.899994,143.179993,143.649994,141.412903,91153700
135,2017-05-01,145.100006,148.979996,144.270004,148.96000700000002,146.640244,175351700
136,2017-05-08,149.029999,156.419998,149.029999,156.100006,153.669052,173470600
137,2017-05-15,156.009995,156.649994,149.71000700000002,153.059998,151.29830900000002,157354900
138,2017-05-22,154.0,154.899994,152.669998,153.610001,151.84198,103000000
139,2017-05-29,153.419998,155.449997,152.220001,155.449997,153.660797,88752900
140,2017-06-05,154.33999599999999,155.979996,146.020004,148.979996,147.265274,159159700
141,2017-06-12,145.740005,147.5,142.199997,142.270004,140.632507,220530400
142,2017-06-19,143.66000400000001,147.16000400000001,143.66000400000001,146.279999,144.596344,133253000
143,2017-06-26,147.169998,148.279999,142.279999,144.020004,142.36236599999998,127060200
144,2017-07-03,144.880005,145.300003,142.41000400000001,144.179993,142.520508,79158400
145,2017-07-10,144.110001,149.330002,143.369995,149.03999299999998,147.32457,111088400
146,2017-07-17,148.820007,151.740005,148.570007,150.270004,148.540421,106081600
147,2017-07-24,150.580002,153.990005,147.300003,149.5,147.779282,105818100
148,2017-07-31,149.899994,159.75,148.130005,156.389999,154.589981,172808500
149,2017-08-07,157.059998,161.830002,154.630005,157.479996,155.667435,151269100
150,2017-08-14,159.320007,162.509995,156.720001,157.5,156.298584,134628500
151,2017-08-21,157.5,160.740005,155.110001,159.860001,158.640594,112671200
152,2017-08-28,160.139999,164.940002,159.929993,164.050003,162.79861499999998,126128700
153,2017-09-04,163.75,164.25,158.529999,158.630005,157.419983,101660200
154,2017-09-11,160.5,163.96000700000002,157.91000400000001,159.880005,158.66043100000002,220582600
155,2017-09-18,160.110001,160.5,150.559998,151.889999,150.73138400000002,186188500
156,2017-09-25,149.990005,154.720001,149.16000400000001,154.119995,152.944366,154856800
157,2017-10-02,154.259995,155.490005,152.46000700000002,155.300003,154.115372,93784300
158,2017-10-09,155.809998,158.0,155.100006,156.990005,155.792496,81304800
159,2017-10-16,157.899994,160.869995,155.020004,156.25,155.058121,126051300
160,2017-10-23,156.889999,163.600006,155.270004,163.050003,161.806259,122403300
161,2017-10-30,163.889999,174.259995,163.720001,172.5,171.184174,215177400
162,2017-11-06,172.369995,176.240005,171.720001,174.669998,173.337601,138425400
163,2017-11-13,173.5,174.5,168.380005,170.149994,169.459091,116459700
164,2017-11-20,170.28999299999998,175.5,169.559998,174.970001,174.259521,81009300
165,2017-11-27,175.050003,175.080002,167.16000400000001,171.050003,170.355438,170098500
166,2017-12-04,172.479996,172.619995,166.46000700000002,169.369995,168.682251,137481100
167,2017-12-11,169.199997,174.169998,168.78999299999998,173.970001,173.26358000000002,139147200
168,2017-12-18,174.880005,177.199997,173.25,175.009995,174.299362,117632400
169,2017-12-25,170.800003,171.850006,169.220001,169.229996,168.542831,97163800
170,2018-01-01,170.16000400000001,175.369995,169.259995,175.0,174.289398,101168400
171,2018-01-08,174.350006,177.360001,173.0,177.08999599999999,176.370911,110197500
172,2018-01-15,177.899994,180.100006,175.070007,178.46000700000002,177.735352,127571200
173,2018-01-22,177.300003,179.440002,170.059998,171.509995,170.813568,191574800
174,2018-01-29,170.16000400000001,170.16000400000001,160.100006,160.5,159.848282,262992100
175,2018-02-05,159.100006,163.880005,150.240005,156.41000400000001,155.774887,317654000
176,2018-02-12,158.5,174.820007,157.509995,172.429993,172.429993,225336900
177,2018-02-19,172.050003,175.649994,171.009995,175.5,175.5,136206400
178,2018-02-26,176.350006,180.619995,172.449997,176.21000700000002,176.21000700000002,202128400
179,2018-03-05,175.21000700000002,180.0,174.270004,179.979996,179.979996,139852700
180,2018-03-12,180.28999299999998,183.5,177.619995,178.020004,178.020004,155417500
181,2018-03-19,177.320007,177.470001,164.940002,164.940002,164.940002,172670700
182,2018-03-26,168.070007,175.149994,165.190002,167.779999,167.779999,157898400
183,2018-03-29,167.804993,171.75,166.899994,167.779999,167.779999,38398505
